wavelength,r,g,b
5.897725490196079e-07,0.8424526637120311,0.6626655427178039,0.02286764430817411
5.918823529411765e-07,0.8965108114960647,0.6352031086573743,0.02150990398075385
5.939921568627452e-07,0.9328908496034041,0.6063858205180697,0.02045594801860011
5.961019607843138e-07,0.9549939035315143,0.5765574175456349,0.019685744472225087
5.982117647058824e-07,0.968769928277446,0.5460616389858147,0.01916270605335249
6.00321568627451e-07,0.9779086647508635,0.5152422240843549,0.01885024547370609
6.024313725490197e-07,0.9852233160968532,0.48444291208699564,0.01871177544500954
6.045411764705883e-07,0.9910388335297337,0.4540074422394878,0.018710708678986603
6.066509803921569e-07,0.9935273730868729,0.4242795537875713,0.0188137171721961
6.087607843137255e-07,0.9950426092726267,0.3956029859769923,0.019008602647130876
6.108705882352942e-07,0.9952549750697391,0.3683214780534955,0.01929159198761549
6.129803921568628e-07,0.9957870423044946,0.3427787692628256,0.019658933932808927
6.150901960784314e-07,0.9969045362912013,0.31931859885072694,0.020106877221870177
6.172000000000001e-07,0.9955187495372666,0.29828470606294444,0.020637818258127008
6.193098039215686e-07,0.9929109379440253,0.2800208301452235,0.021329471796484287
6.214196078431374e-07,0.9911921798485146,0.26483896331661916,0.02231003886087339
6.235294117647059e-07,0.9901651126989884,0.25285516842958516,0.023708283878988927
6.256392156862745e-07,0.9887150799115327,0.243383476683267,0.02556706735445177
6.277490196078432e-07,0.9875198854065601,0.23403963061101268,0.027733488011481816
6.298588235294118e-07,0.9886523225669569,0.22518364811612804,0.030027509617492124
6.319686274509804e-07,0.9900442840959751,0.21852730465179154,0.03227399798610318
6.340784313725491e-07,0.9913426472013743,0.21250961390666215,0.034419293688621865
6.361882352941177e-07,0.9923639762300006,0.20609505457012461,0.03653626820390682
6.382980392156862e-07,0.992174373688031,0.19978942539219116,0.03870370681420558
6.404078431372549e-07,0.9909768608178984,0.1935691266580985,0.04100039480176605
6.425176470588235e-07,0.9888967039351079,0.18690563764991489,0.043503114753618725
6.446274509803922e-07,0.9850927927559704,0.18131362713668378,0.04625022794829279
6.467372549019608e-07,0.9790226783451218,0.17770915043719313,0.04922741086191273
6.488470588235294e-07,0.9710790908079593,0.1737412600017076,0.05228942872903687
6.509568627450981e-07,0.9622027509155785,0.17202880983754043,0.055234442514530024
