"Wavelength, µm","n","k"
0.56,2.547937,1.139221
0.561,2.547899,1.139784
0.562,2.547862,1.140352
0.563,2.547827,1.140923
0.564,2.547794,1.141499
0.565,2.547762,1.142079
0.566,2.547731,1.142664
0.567,2.547701,1.143252
0.568,2.547673,1.143845
0.569,2.547647,1.144441
0.57,2.547622,1.145042
0.571,2.547598,1.145647
0.572,2.547575,1.146256
0.573,2.547554,1.146869
0.574,2.547535,1.147487
0.575,2.547517,1.148108
0.576,2.5475,1.148733
0.577,2.547484,1.149363
0.578,2.54747,1.149996
0.579,2.547458,1.150634
0.58,2.547446,1.151275
0.581,2.547436,1.151921
0.582,2.547428,1.15257
0.583,2.547421,1.153224
0.584,2.547415,1.153881
0.585,2.547411,1.154542
0.586,2.547409,1.155208
0.587,2.547407,1.155877
0.588,2.547407,1.15655
0.589,2.547409,1.157227
0.59,2.547411,1.157908
0.591,2.547416,1.158592
0.592,2.547422,1.159281
0.593,2.547429,1.159973
0.594,2.547437,1.16067
0.595,2.547447,1.16137
0.596,2.547459,1.162073
0.597,2.547472,1.162781
0.598,2.547486,1.163492
0.599,2.547502,1.164208
0.6,2.547519,1.164926
0.601,2.547538,1.165649
0.602,2.547559,1.166375
0.603,2.54758,1.167105
0.604,2.547603,1.167839
0.605,2.547628,1.168576
0.606,2.547654,1.169317
0.607,2.547682,1.170062
0.608,2.547711,1.17081
0.609,2.547741,1.171562
0.61,2.547773,1.172317
0.611,2.547807,1.173077
0.612,2.547842,1.173839
0.613,2.547879,1.174605
0.614,2.547917,1.175375
0.615,2.547956,1.176148
0.616,2.547998,1.176925
0.617,2.54804,1.177705
0.618,2.548084,1.178489
0.619,2.54813,1.179276
0.62,2.548178,1.180067
0.621,2.548227,1.180861
0.622,2.548277,1.181658
0.623,2.548329,1.182459
0.624,2.548382,1.183263
0.625,2.548437,1.184071
0.626,2.548494,1.184882
0.627,2.548552,1.185696
0.628,2.548612,1.186514
0.629,2.548673,1.187335
0.63,2.548736,1.188159
0.631,2.548801,1.188987
0.632,2.548867,1.189818
0.633,2.548935,1.190652
0.634,2.549004,1.191489
0.635,2.549075,1.19233
0.636,2.549148,1.193174
0.637,2.549222,1.194021
0.638,2.549298,1.194871
0.639,2.549375,1.195724
0.64,2.549454,1.196581
0.641,2.549535,1.197441
0.642,2.549617,1.198303
